lap,curlap_eval,alllaps_eval,curlap_localexpansion,alllaps_localexpansion,curlap_plan,alllaps_plan,curlap_total,alllaps_total
1.000,0.015,0.015,0.921,0.921,0.145,0.145,1.081,1.081

2.000,0.004,0.019,0.000,0.921,0.001,0.146,0.005,1.086

3.000,0.004,0.023,0.000,0.921,0.001,0.146,0.004,1.090

4.000,0.005,0.027,0.000,0.921,0.001,0.147,0.006,1.096

5.000,0.004,0.031,0.000,0.921,0.001,0.148,0.004,1.100

6.000,0.002,0.033,0.000,0.921,0.000,0.148,0.002,1.102

7.000,0.002,0.035,0.000,0.921,0.001,0.149,0.003,1.105

8.000,0.002,0.037,0.000,0.921,0.000,0.149,0.002,1.108

9.000,0.004,0.040,0.000,0.921,0.001,0.150,0.004,1.112

10.000,0.004,0.044,0.000,0.921,0.001,0.151,0.004,1.116

11.000,0.004,0.048,0.000,0.921,0.001,0.152,0.004,1.120

12.000,0.003,0.051,0.000,0.921,0.001,0.152,0.004,1.125

13.000,0.004,0.055,0.000,0.921,0.001,0.153,0.004,1.129

14.000,0.002,0.057,0.000,0.921,0.001,0.154,0.003,1.132

15.000,0.002,0.059,0.000,0.921,0.001,0.154,0.002,1.134

16.000,0.004,0.062,0.000,0.921,0.000,0.155,0.004,1.138

17.000,0.002,0.064,0.000,0.921,0.000,0.155,0.003,1.141

18.000,0.002,0.066,0.000,0.921,0.001,0.156,0.002,1.143

19.000,0.002,0.068,0.000,0.921,0.000,0.156,0.003,1.146

20.000,0.008,0.076,0.000,0.921,0.000,0.156,0.008,1.154

