lap,curlap_allocsummary,alllaps_allocsummary,curlap_allocupdate,alllaps_allocupdate,curlap_obssummary,alllaps_obssummary,curlap_obsupdate,alllaps_obsupdate,curlap_total,alllaps_total
1.000,0.001,0.001,0.015,0.015,0.000,0.000,0.023,0.023,0.040,0.040

2.000,0.006,0.007,0.004,0.019,0.001,0.001,0.009,0.032,0.019,0.059

3.000,0.003,0.010,0.003,0.022,0.001,0.002,0.003,0.034,0.009,0.068

4.000,0.003,0.013,0.004,0.026,0.001,0.002,0.011,0.045,0.018,0.086

5.000,0.003,0.016,0.003,0.029,0.001,0.003,0.003,0.048,0.010,0.096

6.000,0.001,0.017,0.003,0.032,0.000,0.003,0.012,0.059,0.016,0.112

7.000,0.001,0.019,0.003,0.035,0.000,0.004,0.010,0.070,0.015,0.127

8.000,0.002,0.020,0.003,0.037,0.000,0.004,0.014,0.084,0.019,0.145

9.000,0.003,0.023,0.003,0.040,0.001,0.005,0.022,0.106,0.028,0.174

10.000,0.002,0.026,0.003,0.044,0.001,0.005,0.023,0.129,0.029,0.203

11.000,0.003,0.029,0.003,0.047,0.001,0.006,0.006,0.135,0.013,0.216

12.000,0.002,0.031,0.003,0.050,0.001,0.006,0.019,0.153,0.025,0.241

13.000,0.003,0.034,0.003,0.053,0.001,0.007,0.022,0.175,0.028,0.269

14.000,0.002,0.036,0.003,0.056,0.000,0.007,0.029,0.204,0.034,0.303

15.000,0.002,0.038,0.004,0.059,0.000,0.008,0.025,0.230,0.031,0.334

16.000,0.002,0.040,0.003,0.062,0.000,0.008,0.028,0.257,0.033,0.367

17.000,0.002,0.042,0.003,0.066,0.000,0.008,0.029,0.286,0.035,0.402

18.000,0.002,0.044,0.003,0.069,0.001,0.009,0.018,0.304,0.024,0.426

19.000,0.003,0.047,0.003,0.072,0.000,0.009,0.022,0.327,0.028,0.455

20.000,0.001,0.048,0.004,0.076,0.001,0.011,0.020,0.346,0.026,0.481

